,TEAM_ID,Team,PLAYER_ID,Player,DateInjured,InjuryNotes,DateRecovered,RecoverNotes
37,1610612741,Bulls,201228,C.J. Watson,2012-01-09,sprained left elbow (DNP),2012-01-16,activated from IL
38,1610612741,Bulls,201228,C.J. Watson,2012-01-10,sprained left elbow (DNP),2012-01-16,activated from IL
39,1610612741,Bulls,201228,C.J. Watson,2012-01-11,placed on IL with sprained left elbow,2012-01-16,activated from IL
40,1610612741,Bulls,201565,Derrick Rose,2012-01-11,sprained left big toe (DNP),2012-01-23,activated from IL
41,1610612741,Bulls,1888,Richard Hamilton,2012-01-11,sore left groin (DNP),2012-01-17,activated from IL
42,1610612741,Bulls,201565,Derrick Rose,2012-01-16,sprained left big toe / turf toe (DNP),2012-01-23,activated from IL
43,1610612741,Bulls,1888,Richard Hamilton,2012-01-16,placed on IL with sore left groin,2012-01-17,activated from IL
44,1610612741,Bulls,201565,Derrick Rose,2012-01-17,placed on IL with sprained left big toe / turf toe,2012-01-23,activated from IL
45,1610612741,Bulls,201149,Joakim Noah,2012-01-21,sprained left ankle (DNP),2013-04-15,activated from IL
46,1610612741,Bulls,101249,John Lucas III,2012-01-21,strained left groin (DNP),2014-03-16,activated from IL
47,1610612741,Bulls,201959,Taj Gibson,2012-01-21,sprained left ankle (DNP),2012-01-27,activated from IL
48,1610612741,Bulls,2736,Luol Deng,2012-01-23,torn ligament in left wrist (DNP),2012-02-04,activated from IL
49,1610612741,Bulls,201959,Taj Gibson,2012-01-23,placed on IL with sprained left ankle,2012-01-27,activated from IL
50,1610612741,Bulls,2736,Luol Deng,2012-01-25,torn ligament in left wrist (DNP),2012-02-04,activated from IL
51,1610612741,Bulls,2736,Luol Deng,2012-01-27,placed on IL with torn ligament in left wrist,2012-02-04,activated from IL
52,1610612741,Bulls,1888,Richard Hamilton,2012-01-27,bruised thigh / groin injury (DNP),2012-02-28,activated from IL
53,1610612741,Bulls,201228,C.J. Watson,2012-01-29,wrist injury (DNP),2012-02-28,activated from IL
54,1610612741,Bulls,1888,Richard Hamilton,2012-02-01,right thigh injury (DNP),2012-02-28,activated from IL
55,1610612741,Bulls,1888,Richard Hamilton,2012-02-02,right thigh injury (DNP),2012-02-28,activated from IL
56,1610612741,Bulls,1888,Richard Hamilton,2012-02-04,placed on IL with right thigh injury,2012-02-28,activated from IL
57,1610612741,Bulls,1888,Richard Hamilton,2012-02-06,right thigh injury (DNP) (Fox),2012-02-28,activated from IL
58,1610612741,Bulls,1888,Richard Hamilton,2012-02-08,right thigh injury (DNP) (Fox),2012-02-28,activated from IL
59,1610612741,Bulls,201565,Derrick Rose,2012-02-10,strained lower back (DNP),2012-04-08,activated from IL
60,1610612741,Bulls,1888,Richard Hamilton,2012-02-10,right thigh injury (DNP) (Fox),2012-02-28,activated from IL
61,1610612741,Bulls,201565,Derrick Rose,2012-02-12,strained lower back (DNP),2012-04-08,activated from IL
62,1610612741,Bulls,1888,Richard Hamilton,2012-02-12,right thigh injury (DNP) (Fox),2012-02-28,activated from IL
63,1610612741,Bulls,201565,Derrick Rose,2012-02-14,strained lower back (DNP),2012-04-08,activated from IL
64,1610612741,Bulls,201565,Derrick Rose,2012-02-16,strained lower back (DNP),2012-04-08,activated from IL
65,1610612741,Bulls,1888,Richard Hamilton,2012-02-16,placed on IL with right thigh injury,2012-02-28,activated from IL
66,1610612741,Bulls,201565,Derrick Rose,2012-02-18,strained lower back (DNP),2012-04-08,activated from IL
67,1610612741,Bulls,201228,C.J. Watson,2012-02-20,placed on IL with concussion (F),2012-02-28,activated from IL
68,1610612741,Bulls,201228,C.J. Watson,2012-02-22,DNP (P),2012-02-28,activated from IL
69,1610612741,Bulls,201228,C.J. Watson,2012-02-22,placed on IL (F),2012-02-28,activated from IL
70,1610612741,Bulls,201228,C.J. Watson,2012-03-05,left ankle injury (DNP),2014-03-14,activated from IL
71,1610612741,Bulls,201228,C.J. Watson,2012-03-07,sprained left ankle (DNP),2014-03-14,activated from IL
72,1610612741,Bulls,1888,Richard Hamilton,2012-03-07,right shoulder injury (DNP),2012-04-02,activated from IL (P)
73,1610612741,Bulls,201228,C.J. Watson,2012-03-08,sore left ankle (DNP),2014-03-14,activated from IL
74,1610612741,Bulls,1888,Richard Hamilton,2012-03-08,sore right shoulder (DNP),2012-04-02,activated from IL (P)
75,1610612741,Bulls,201149,Joakim Noah,2012-03-10,illness (DNP),2013-04-15,activated from IL
76,1610612741,Bulls,2736,Luol Deng,2012-03-10,torn ligament in left wrist (DNP),2014-11-20,returned to lineup
77,1610612741,Bulls,1888,Richard Hamilton,2012-03-10,right shoulder injury (DNP),2012-04-02,activated from IL (P)
78,1610612741,Bulls,2736,Luol Deng,2012-03-12,torn ligament in left wrist (DNP),2014-11-20,returned to lineup
79,1610612741,Bulls,1888,Richard Hamilton,2012-03-12,right shoulder injury (DNP),2012-04-02,activated from IL (P)
80,1610612741,Bulls,201565,Derrick Rose,2012-03-14,sore groin (DNP),2012-04-08,activated from IL
81,1610612741,Bulls,1888,Richard Hamilton,2012-03-14,placed on IL with right shoulder injury,2012-04-02,activated from IL (P)
82,1610612741,Bulls,201565,Derrick Rose,2012-03-16,strained groin (DNP),2012-04-08,activated from IL
83,1610612741,Bulls,201565,Derrick Rose,2012-03-17,strained groin (DNP),2012-04-08,activated from IL
84,1610612741,Bulls,201565,Derrick Rose,2012-03-19,strained groin (DNP),2012-04-08,activated from IL
85,1610612741,Bulls,201565,Derrick Rose,2012-03-21,strained groin (DNP),2012-04-08,activated from IL
86,1610612741,Bulls,201565,Derrick Rose,2012-03-24,strained groin (DNP),2012-04-08,activated from IL
87,1610612741,Bulls,1888,Richard Hamilton,2012-03-24,right shoulder injury (DNP) (F),2012-04-02,activated from IL (P)
88,1610612741,Bulls,201565,Derrick Rose,2012-03-26,strained groin (DNP),2012-04-08,activated from IL
89,1610612741,Bulls,1888,Richard Hamilton,2012-03-26,right shoulder injury (DNP) (F),2012-04-02,activated from IL (P)
90,1610612741,Bulls,201565,Derrick Rose,2012-03-28,strained groin (DNP),2012-04-08,activated from IL
91,1610612741,Bulls,1888,Richard Hamilton,2012-03-28,right shoulder injury (DNP) (F),2012-04-02,activated from IL (P)
92,1610612741,Bulls,201565,Derrick Rose,2012-03-30,strained groin (DNP),2012-04-08,activated from IL
93,1610612741,Bulls,201565,Derrick Rose,2012-04-01,strained groin (DNP),2012-04-08,activated from IL
94,1610612741,Bulls,201565,Derrick Rose,2012-04-02,strained groin (DNP),2012-04-08,activated from IL
95,1610612741,Bulls,201565,Derrick Rose,2012-04-05,placed on IL with strained groin,2012-04-08,activated from IL
96,1610612741,Bulls,2243,Brian Scalabrine,2012-04-08,placed on IL,2012-04-10,activated from IL
97,1610612741,Bulls,201565,Derrick Rose,2012-04-10,placed on IL with sprained right ankle,2012-04-12,activated from IL
98,1610612741,Bulls,2243,Brian Scalabrine,2012-04-12,placed on IL,2012-04-16,activated from IL
99,1610612741,Bulls,201565,Derrick Rose,2012-04-16,placed on IL with sore right foot,2012-04-21,activated from IL
100,1610612741,Bulls,2736,Luol Deng,2012-04-16,bruised ribs (DNP),2014-11-20,returned to lineup
101,1610612741,Bulls,2736,Luol Deng,2012-04-18,bruised ribs (DNP),2014-11-20,returned to lineup
102,1610612741,Bulls,2243,Brian Scalabrine,2012-04-21,placed on IL,2012-04-26,activated from IL
103,1610612741,Bulls,201565,Derrick Rose,2012-04-26,rest (DNP),2014-11-10,activated from IL
104,1610612741,Bulls,2594,Kyle Korver,2012-04-26,rest (DNP),2012-12-12,activated from IL
105,1610612741,Bulls,2736,Luol Deng,2012-04-26,placed on IL (out for season),2014-11-20,returned to lineup
106,1610612741,Bulls,2243,Brian Scalabrine,2012-04-28,placed on IL,2012-05-01,activated from IL
107,1610612741,Bulls,201565,Derrick Rose,2012-04-28,torn ACL in left knee (out for season),2014-11-10,activated from IL
108,1610612741,Bulls,201565,Derrick Rose,2012-05-01,placed on IL with torn ACL in left knee (out for season),2014-11-10,activated from IL
109,1610612741,Bulls,201149,Joakim Noah,2012-05-06,sprained left ankle (DNP),2013-04-15,activated from IL
110,1610612741,Bulls,201149,Joakim Noah,2012-05-08,sprained left ankle (DNP),2013-04-15,activated from IL
111,1610612741,Bulls,201149,Joakim Noah,2012-05-10,sprained left ankle (DNP),2013-04-15,activated from IL
112,1610612741,Bulls,201565,Derrick Rose,2012-05-12,surgery on left knee to repair torn ACL,2014-11-10,activated from IL
113,1610612741,Bulls,201565,Derrick Rose,2012-10-30,recovering from surgery on left knee to repair torn ACL (out indefinitely),2014-11-10,activated from IL
114,1610612741,Bulls,201565,Derrick Rose,2012-10-31,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),2014-11-10,activated from IL
115,1610612741,Bulls,2550,Kirk Hinrich,2012-11-12,placed on IL with right hip/gluteus/hamstring injury,2012-11-14,activated from IL
116,1610612741,Bulls,1888,Richard Hamilton,2012-12-02,torn plantar fascia in left foot (out indefinitely),2012-12-29,activated from IL
117,1610612741,Bulls,1888,Richard Hamilton,2012-12-04,placed on IL with torn plantar fascia in left foot,2012-12-29,activated from IL
118,1610612741,Bulls,2550,Kirk Hinrich,2012-12-12,left knee injury (DTD),2013-02-19,activated from IL (P)
119,1610612741,Bulls,2550,Kirk Hinrich,2012-12-15,bruised left knee (DNP),2013-02-19,activated from IL (P)
120,1610612741,Bulls,2550,Kirk Hinrich,2012-12-31,left knee injury (DNP),2013-02-19,activated from IL (P)
121,1610612741,Bulls,201149,Joakim Noah,2013-01-02,flu (DNP),2013-04-15,activated from IL
122,1610612741,Bulls,2209,Vladimir Radmanovic,2013-01-02,flu (DNP),2013-04-25,activated from IL
123,1610612741,Bulls,2550,Kirk Hinrich,2013-01-09,right elbow injury (DNP),2013-02-19,activated from IL (P)
124,1610612741,Bulls,2736,Luol Deng,2013-01-19,strained right hamstring (DNP),2014-11-20,returned to lineup
125,1610612741,Bulls,2736,Luol Deng,2013-01-21,strained right hamstring (DNP),2014-11-20,returned to lineup
126,1610612741,Bulls,2736,Luol Deng,2013-01-25,strained right hamstring (DNP),2014-11-20,returned to lineup
127,1610612741,Bulls,2736,Luol Deng,2013-01-26,strained right hamstring (DNP),2014-11-20,returned to lineup
128,1610612741,Bulls,2430,Carlos Boozer,2013-01-30,strained right hamstring (DNP),2014-11-26,returned to lineup
129,1610612741,Bulls,2430,Carlos Boozer,2013-02-01,strained right hamstring (DNP),2014-11-26,returned to lineup
130,1610612741,Bulls,201149,Joakim Noah,2013-02-01,right foot injury (DNP),2013-04-15,activated from IL
131,1610612741,Bulls,2550,Kirk Hinrich,2013-02-01,right elbow injury (DNP),2013-02-19,activated from IL (P)
132,1610612741,Bulls,2430,Carlos Boozer,2013-02-02,sore right hamstring (DNP),2014-11-26,returned to lineup
133,1610612741,Bulls,201149,Joakim Noah,2013-02-02,right foot injury (DNP),2013-04-15,activated from IL
134,1610612741,Bulls,2550,Kirk Hinrich,2013-02-02,right elbow injury (DNP),2013-02-19,activated from IL (P)
135,1610612741,Bulls,201149,Joakim Noah,2013-02-04,right foot injury (DNP),2013-04-15,activated from IL
136,1610612741,Bulls,2550,Kirk Hinrich,2013-02-04,right elbow injury (DNP),2013-02-19,activated from IL (P)
137,1610612741,Bulls,2550,Kirk Hinrich,2013-02-07,right elbow injury (DNP),2013-02-19,activated from IL (P)
138,1610612741,Bulls,201158,Marco Belinelli,2013-02-07,sprained right ankle (DNP),2014-11-21,returned to lineup
139,1610612741,Bulls,2550,Kirk Hinrich,2013-02-08,right elbow injury (DNP),2013-02-19,activated from IL (P)
140,1610612741,Bulls,2550,Kirk Hinrich,2013-02-11,right elbow injury (DNP),2013-02-19,activated from IL (P)
141,1610612741,Bulls,2550,Kirk Hinrich,2013-02-21,sore right elbow (DNP),2014-01-29,activated from IL
142,1610612741,Bulls,2550,Kirk Hinrich,2013-02-22,sore right elbow (DNP),2014-01-29,activated from IL
143,1610612741,Bulls,2550,Kirk Hinrich,2013-02-24,sore right elbow (DNP),2014-01-29,activated from IL
144,1610612741,Bulls,201959,Taj Gibson,2013-02-26,sprained left knee (DNP),2013-03-21,activated from IL
145,1610612741,Bulls,1888,Richard Hamilton,2013-02-28,lower back spasms (DNP),2013-04-09,activated from IL
146,1610612741,Bulls,201959,Taj Gibson,2013-02-28,sore left knee (DNP),2013-03-21,activated from IL
147,1610612741,Bulls,1888,Richard Hamilton,2013-03-02,sore lower back (DNP),2013-04-09,activated from IL
148,1610612741,Bulls,201959,Taj Gibson,2013-03-02,placed on IL with sore left knee,2013-03-21,activated from IL
149,1610612741,Bulls,2550,Kirk Hinrich,2013-03-03,right foot injury (DNP),2014-01-29,activated from IL
150,1610612741,Bulls,1888,Richard Hamilton,2013-03-03,placed on IL with sore lower back,2013-04-09,activated from IL
151,1610612741,Bulls,2550,Kirk Hinrich,2013-03-06,right foot injury (DNP),2014-01-29,activated from IL
152,1610612741,Bulls,2550,Kirk Hinrich,2013-03-08,right foot injury (DNP),2014-01-29,activated from IL
153,1610612741,Bulls,2550,Kirk Hinrich,2013-03-10,right foot injury (DNP),2014-01-29,activated from IL
154,1610612741,Bulls,2550,Kirk Hinrich,2013-03-13,right foot injury (DNP),2014-01-29,activated from IL
155,1610612741,Bulls,2550,Kirk Hinrich,2013-03-15,right foot injury (DNP),2014-01-29,activated from IL
156,1610612741,Bulls,2550,Kirk Hinrich,2013-03-18,right foot injury (DNP),2014-01-29,activated from IL
157,1610612741,Bulls,201149,Joakim Noah,2013-03-23,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
158,1610612741,Bulls,201149,Joakim Noah,2013-03-24,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
159,1610612741,Bulls,201158,Marco Belinelli,2013-03-24,strained abdominal muscle (DNP),2014-11-21,returned to lineup
160,1610612741,Bulls,201149,Joakim Noah,2013-03-27,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
161,1610612741,Bulls,201158,Marco Belinelli,2013-03-27,strained abdominal muscle (DNP),2014-11-21,returned to lineup
162,1610612741,Bulls,201149,Joakim Noah,2013-03-30,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
163,1610612741,Bulls,201158,Marco Belinelli,2013-03-30,strained abdominal muscle (DNP),2014-11-21,returned to lineup
164,1610612741,Bulls,201149,Joakim Noah,2013-03-31,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
165,1610612741,Bulls,201158,Marco Belinelli,2013-03-31,strained abdominal muscle (DNP),2014-11-21,returned to lineup
166,1610612741,Bulls,201149,Joakim Noah,2013-04-02,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
167,1610612741,Bulls,201158,Marco Belinelli,2013-04-02,strained abdominal muscle (DNP),2014-11-21,returned to lineup
168,1610612741,Bulls,201149,Joakim Noah,2013-04-04,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
169,1610612741,Bulls,201158,Marco Belinelli,2013-04-04,strained abdominal muscle (DNP),2014-11-21,returned to lineup
170,1610612741,Bulls,201959,Taj Gibson,2013-04-04,placed on IL with sprained left knee,2013-04-15,activated from IL
171,1610612741,Bulls,201149,Joakim Noah,2013-04-05,plantar fasciitis in right foot (DNP),2013-04-15,activated from IL
172,1610612741,Bulls,201158,Marco Belinelli,2013-04-05,strained abdominal muscle (DNP),2014-11-21,returned to lineup
173,1610612741,Bulls,2736,Luol Deng,2013-04-07,sore right hip (DNP),2014-11-20,returned to lineup
174,1610612741,Bulls,201149,Joakim Noah,2013-04-09,placed on IL with plantar fasciitis in right foot,2013-04-15,activated from IL
175,1610612741,Bulls,2736,Luol Deng,2013-04-09,right hip injury (DNP),2014-11-20,returned to lineup
176,1610612741,Bulls,2209,Vladimir Radmanovic,2013-04-15,placed on IL with back injury,2013-04-25,activated from IL
177,1610612741,Bulls,,Malcolm Thomas ,2013-04-25,placed on IL,,
178,1610612741,Bulls,2550,Kirk Hinrich,2013-04-29,placed on IL with bruised left calf (out for season),2014-01-29,activated from IL
179,1610612741,Bulls,2736,Luol Deng,2013-05-02,illness (DNP),2014-11-20,returned to lineup
180,1610612741,Bulls,,Malcolm Thomas ,2013-05-02,placed on IL,,
181,1610612741,Bulls,2736,Luol Deng,2013-05-04,placed on IL with adverse reaction to medicine (out for season),2014-11-20,returned to lineup
182,1610612741,Bulls,201565,Derrick Rose,2013-11-15,sore hamstring (DNP),2014-11-10,activated from IL
183,1610612741,Bulls,202710,Jimmy Butler,2013-11-21,placed on IL with turf toe,2013-12-13,activated from IL
184,1610612741,Bulls,201565,Derrick Rose,2013-11-23,torn meniscus in right knee (out for season),2014-11-10,activated from IL
185,1610612741,Bulls,201565,Derrick Rose,2013-11-24,placed on IL with torn meniscus in right knee (out for season),2014-11-10,activated from IL
186,1610612741,Bulls,201565,Derrick Rose,2013-11-25,surgery on right knee to repair torn meniscus (out for season),2014-11-10,activated from IL
187,1610612741,Bulls,,Mike James ,2013-12-05,right knee injury (DNP),,
188,1610612741,Bulls,2736,Luol Deng,2013-12-07,left calf injury (DNP),2014-11-20,returned to lineup
189,1610612741,Bulls,,Mike James ,2013-12-07,right knee injury (DNP),,
190,1610612741,Bulls,201149,Joakim Noah,2013-12-10,bruised right thigh (DNP),2014-11-07,activated from IL
191,1610612741,Bulls,2736,Luol Deng,2013-12-10,sore left Achilles (DNP),2014-11-20,returned to lineup
192,1610612741,Bulls,2736,Luol Deng,2013-12-11,sore left Achilles (DNP),2014-11-20,returned to lineup
193,1610612741,Bulls,2736,Luol Deng,2013-12-13,sore left Achilles (DNP),2014-11-20,returned to lineup
194,1610612741,Bulls,,Mike James ,2013-12-13,right knee injury (DNP),,
195,1610612741,Bulls,2550,Kirk Hinrich,2013-12-14,strained back (DNP),2014-01-29,activated from IL
196,1610612741,Bulls,2550,Kirk Hinrich,2013-12-16,sore back (DNP),2014-01-29,activated from IL
197,1610612741,Bulls,2550,Kirk Hinrich,2013-12-18,sore back (DNP),2014-01-29,activated from IL
198,1610612741,Bulls,2550,Kirk Hinrich,2013-12-19,sore back (DNP),2014-01-29,activated from IL
199,1610612741,Bulls,2736,Luol Deng,2013-12-19,sore left Achilles (DNP),2014-11-20,returned to lineup
200,1610612741,Bulls,202710,Jimmy Butler,2013-12-21,sprained right ankle (DNP),2014-11-01,activated from IL
201,1610612741,Bulls,2550,Kirk Hinrich,2013-12-21,sore back (DNP),2014-01-29,activated from IL
202,1610612741,Bulls,2736,Luol Deng,2013-12-21,sore left Achilles (DNP),2014-11-20,returned to lineup
203,1610612741,Bulls,2736,Luol Deng,2013-12-25,sore left Achilles (DNP),2014-11-20,returned to lineup
204,1610612741,Bulls,2736,Luol Deng,2013-12-28,sore left Achilles (DNP),2014-11-20,returned to lineup
205,1610612741,Bulls,2736,Luol Deng,2013-12-30,sore left Achilles (DNP),2014-11-20,returned to lineup
206,1610612741,Bulls,2430,Carlos Boozer,2014-01-04,sore/bruised right knee (DNP),2014-11-26,returned to lineup
207,1610612741,Bulls,2430,Carlos Boozer,2014-01-07,sore right knee (DNP),2014-11-26,returned to lineup
208,1610612741,Bulls,202710,Jimmy Butler,2014-01-11,bruised thigh (DNP),2014-11-01,activated from IL
209,1610612741,Bulls,2430,Carlos Boozer,2014-01-22,left calf injury (DNP),2014-11-26,returned to lineup
210,1610612741,Bulls,2550,Kirk Hinrich,2014-01-22,placed on IL with right hamstring injury,2014-01-29,activated from IL
211,1610612741,Bulls,201149,Joakim Noah,2014-01-27,illness (DNP),2014-11-07,activated from IL
212,1610612741,Bulls,2430,Carlos Boozer,2014-02-06,strained left calf (DNP),2014-11-26,returned to lineup
213,1610612741,Bulls,2430,Carlos Boozer,2014-02-09,strained left calf (DNP),2014-11-26,returned to lineup
214,1610612741,Bulls,2430,Carlos Boozer,2014-02-11,strained left calf (DNP),2014-11-26,returned to lineup
215,1610612741,Bulls,202710,Jimmy Butler,2014-02-23,bruised ribs (DNP),2014-11-01,activated from IL
216,1610612741,Bulls,202710,Jimmy Butler,2014-02-25,bruised ribs (DNP),2014-11-01,activated from IL
217,1610612741,Bulls,203129,Tornike Shengelia,2014-03-17,flu (DNP),,
218,1610612741,Bulls,203129,Tornike Shengelia,2014-03-19,flu (DNP),,
219,1610612741,Bulls,203129,Tornike Shengelia,2014-03-21,flu (DNP),,
220,1610612741,Bulls,203129,Tornike Shengelia,2014-03-22,flu (DNP),,
221,1610612741,Bulls,,Greg Smith ,2014-04-20,placed on IL,,
222,1610612741,Bulls,201149,Joakim Noah,2014-05-02,arthroscopic surgery on left knee (out indefinitely),2014-11-07,activated from IL
223,1610612741,Bulls,202710,Jimmy Butler,2014-10-29,placed on IL with sprained left thumb,2014-11-01,activated from IL
224,1610612741,Bulls,201565,Derrick Rose,2014-11-01,sprained left ankle (DTD),2014-11-10,activated from IL
225,1610612741,Bulls,201959,Taj Gibson,2014-11-01,placed on IL with sprained left ankle,2014-11-04,activated from IL
226,1610612741,Bulls,201149,Joakim Noah,2014-11-04,placed on IL with illness,2014-11-07,activated from IL
227,1610612741,Bulls,201565,Derrick Rose,2014-11-07,placed on IL with sprained ankles,2014-11-10,activated from IL
228,1610612741,Bulls,203946,Cameron Bairstow,2014-11-10,placed on IL,2015-02-21,activated from IL
229,1610612741,Bulls,201565,Derrick Rose,2014-11-15,strained left hamstring (DTD),2014-11-24,returned to lineup
230,1610612741,Bulls,2200,Pau Gasol,2014-11-17,placed on IL with strained left calf,2014-11-24,activated from IL
231,1610612741,Bulls,2550,Kirk Hinrich,2014-11-21,placed on IL with chest injury,2014-11-25,activated from IL
232,1610612741,Bulls,201959,Taj Gibson,2014-11-24,placed on IL,2014-12-06,activated from IL
233,1610612741,Bulls,201149,Joakim Noah,2014-11-25,placed on IL with eye abrasion,2014-11-28,activated from IL
234,1610612741,Bulls,203926,Doug McDermott,2014-12-02,placed on IL with torn meniscus in right knee,2015-01-22,activated from IL
235,1610612741,Bulls,201149,Joakim Noah,2014-12-10,placed on IL with sprained right ankle,2014-12-18,activated from IL
236,1610612741,Bulls,203926,Doug McDermott,2014-12-13,arthroscopic surgery on right knee to repair torn meniscus (out indefinitely),2015-01-22,activated from IL
237,1610612741,Bulls,201565,Derrick Rose,2014-12-18,placed on IL with illness,2014-12-22,activated from IL
238,1610612741,Bulls,201959,Taj Gibson,2014-12-18,placed on IL with sprained right ankle,2014-12-22,activated from IL
239,1610612741,Bulls,2550,Kirk Hinrich,2014-12-23,placed on IL with hamstring injury / tendinitis in left knee (P),2015-01-01,activated from IL
240,1610612741,Bulls,,Mike Dunleavy Jr.,2015-01-03,placed on IL with right ankle injury,,
241,1610612741,Bulls,201565,Derrick Rose,2015-01-10,placed on IL with sore left knee / right hip injury,2015-01-12,activated from IL
242,1610612741,Bulls,201149,Joakim Noah,2015-01-16,placed on IL with sprained right ankle,2015-01-23,activated from IL
243,1610612741,Bulls,202710,Jimmy Butler,2015-01-27,placed on IL with illness,2015-01-29,activated from IL
244,1610612741,Bulls,2550,Kirk Hinrich,2015-02-08,placed on IL with turf toe,2015-02-20,activated from IL
245,1610612741,Bulls,202710,Jimmy Butler,2015-02-12,placed on IL with strained right shoulder,2015-02-20,activated from IL
246,1610612741,Bulls,203946,Cameron Bairstow,2015-02-20,placed on IL,2015-02-21,activated from IL
247,1610612741,Bulls,2550,Kirk Hinrich,2015-02-21,placed on IL with illness,2015-02-25,activated from IL
248,1610612741,Bulls,201959,Taj Gibson,2015-02-23,placed on IL with illness,2015-02-25,activated from IL
249,1610612741,Bulls,201565,Derrick Rose,2015-02-24,torn medial meniscus in right knee (out indefinitely),2015-04-08,activated from IL
250,1610612741,Bulls,201565,Derrick Rose,2015-02-25,placed on IL with torn medial meniscus in righ tknee,2015-04-08,activated from IL
