,Unnamed: 0,PLAYER_ID,DateRecovered,DateInjured,TEAM_ID,Team,Player,InjuryNotes,RecoverNotes,NumberInjuries,InjuryLengthDays,SeasonInjured,SeasonRecovered
13,13,467,2012-02-10,2012-01-29,1610612742,Mavericks,Jason Kidd,placed on IL with strained right calf,activated from IL,15.0,12,2011.0,2011.0
14,14,467,2012-04-10,2012-03-10,1610612742,Mavericks,Jason Kidd,rest (DNP),activated from IL,15.0,31,2011.0,2011.0
15,15,467,2012-04-15,2012-04-13,1610612742,Mavericks,Jason Kidd,placed on IL for rest,activated from IL,15.0,2,2011.0,2011.0
16,16,467,2016-01-25,2012-04-21,1610612742,Mavericks,Jason Kidd,placed on IL for rest,returned as head coach,15.0,1374,2011.0,2015.0
17,17,686,2011-04-13,2011-03-28,1610612759,Spurs,Antonio McDyess,bruised lower back (DNP),activated from IL,2.0,16,2010.0,2010.0
18,18,689,2010-11-14,2010-11-11,1610612747,Lakers,Theo Ratliff,placed on IL with left knee tendinitis,activated from IL,3.0,3,2010.0,2010.0
19,19,689,2011-03-31,2010-11-16,1610612747,Lakers,Theo Ratliff,placed on IL recovering from arthroscopic surgery on left knee to remove part of torn meniscus,activated from IL,3.0,135,2010.0,2010.0
20,20,703,2010-12-04,2010-12-03,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,5.0,1,2010.0,2010.0
21,21,703,2010-12-08,2010-12-06,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,5.0,2,2010.0,2010.0
22,22,703,2010-12-18,2010-12-11,1610612741,Bulls,Kurt Thomas,placed on IL,activated from IL,5.0,7,2010.0,2010.0
23,23,708,2011-01-14,2010-12-31,1610612738,Celtics,Kevin Garnett,placed on IL with strained right calf,activated from IL,52.0,14,2010.0,2010.0
24,24,708,2013-04-07,2011-01-14,1610612738,Celtics,Kevin Garnett,strained right leg (DNP),activated from IL,52.0,814,2010.0,2012.0
25,25,708,2013-11-18,2013-04-12,1610612738,Celtics,Kevin Garnett,sore left ankle (DNP),activated from IL,52.0,220,2012.0,2013.0
26,26,708,2014-01-06,2013-11-29,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,52.0,38,2013.0,2013.0
27,27,708,2014-04-05,2014-01-11,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,52.0,84,2013.0,2013.0
28,28,708,2014-04-09,2014-04-08,1610612751,Nets,Kevin Garnett,placed on IL with back injury,activated from IL,52.0,1,2013.0,2013.0
29,29,708,2014-11-26,2014-04-16,1610612751,Nets,Kevin Garnett,rest (DNP),activated from IL,52.0,224,2013.0,2014.0
30,30,708,2014-12-05,2014-12-03,1610612751,Nets,Kevin Garnett,placed on IL,activated from IL,52.0,2,2014.0,2014.0
31,31,708,2014-12-16,2014-12-13,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,52.0,3,2014.0,2014.0
32,32,708,2015-01-02,2014-12-30,1610612751,Nets,Kevin Garnett,placed on IL,activated from IL,52.0,3,2014.0,2014.0
33,33,708,2015-01-07,2015-01-05,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,52.0,2,2014.0,2014.0
34,34,708,2015-01-10,2015-01-09,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,52.0,1,2014.0,2014.0
35,35,708,2015-01-24,2015-01-22,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,52.0,2,2014.0,2014.0
36,36,708,2015-02-09,2015-02-07,1610612751,Nets,Kevin Garnett,rest (DTD),returned to lineup,52.0,2,2014.0,2014.0
37,37,708,2015-02-25,2015-02-20,1610612750,Timberwolves,Kevin Garnett,placed on IL,activated from IL,52.0,5,2014.0,2014.0
38,38,708,2015-11-12,2015-03-13,1610612750,Timberwolves,Kevin Garnett,sore left knee (out for season),activated from IL,52.0,244,2014.0,2015.0
39,39,708,2015-11-20,2015-11-18,1610612750,Timberwolves,Kevin Garnett,placed on IL,activated from IL,52.0,2,2015.0,2015.0
40,40,708,2016-01-02,2015-12-21,1610612750,Timberwolves,Kevin Garnett,rest (DTD),activated from IL,52.0,12,2015.0,2015.0
41,41,708,2016-01-15,2016-01-13,1610612750,Timberwolves,Kevin Garnett,placed on IL,activated from IL,52.0,2,2015.0,2015.0
42,42,708,2016-01-23,2016-01-20,1610612750,Timberwolves,Kevin Garnett,placed on IL for rest,activated from IL,52.0,3,2015.0,2015.0
43,43,711,2010-10-27,2010-10-26,1610612748,Heat,Jerry Stackhouse,placed on IL,activated from IL,11.0,1,2010.0,2010.0
44,44,711,2012-11-05,2012-05-06,1610612737,Hawks,Jerry Stackhouse,placed on IL (out for season),activated from IL,11.0,183,2011.0,2012.0
45,45,711,2012-11-23,2012-11-21,1610612751,Nets,Jerry Stackhouse,placed on IL for rest,activated from IL,11.0,2,2012.0,2012.0
46,46,711,2012-12-23,2012-12-12,1610612751,Nets,Jerry Stackhouse,placed on IL with sore right knee,activated from IL,11.0,11,2012.0,2012.0
47,47,711,2013-01-04,2013-01-02,1610612751,Nets,Jerry Stackhouse,placed on IL with hamstring injury,activated from IL,11.0,2,2012.0,2012.0
48,48,711,2013-04-17,2013-02-05,1610612751,Nets,Jerry Stackhouse,stiff neck (DNP),activated from IL,11.0,71,2012.0,2012.0
49,49,739,2013-04-15,2012-11-23,1610612752,Knicks,Rasheed Wallace,sore left foot (DNP),activated from IL,20.0,143,2012.0,2012.0
50,50,948,2012-03-18,2012-03-17,1610612745,Rockets,Marcus Camby,placed on IL,activated from IL,23.0,1,2011.0,2011.0
51,51,948,2012-11-09,2012-04-16,1610612745,Rockets,Marcus Camby,sore lower back (DNP),returned to lineup,23.0,207,2011.0,2012.0
52,52,948,2013-03-03,2012-12-02,1610612752,Knicks,Marcus Camby,sore left foot (DTD),activated from IL,23.0,91,2012.0,2012.0
53,53,948,2013-05-01,2013-04-05,1610612752,Knicks,Marcus Camby,plantar fasciitis in left foot (DNP),activated from IL,23.0,26,2012.0,2012.0
54,54,951,2012-01-06,2011-04-11,1610612738,Celtics,Ray Allen,rest (DNP),activated from IL,21.0,270,2010.0,2011.0
55,55,951,2012-03-04,2012-01-23,1610612738,Celtics,Ray Allen,sprained left ankle (DNP),activated from IL,21.0,41,2011.0,2011.0
56,56,951,2012-03-25,2012-03-23,1610612738,Celtics,Ray Allen,placed on IL with sore left (P) / right (CBC) ankle,activated from IL,21.0,2,2011.0,2011.0
57,57,951,2012-05-04,2012-03-25,1610612738,Celtics,Ray Allen,sore right ankle (DNP),activated from IL,21.0,40,2011.0,2011.0
58,58,951,2012-12-28,2012-06-14,1610612738,Celtics,Ray Allen,arthroscopic surgery on right ankle to remove bone spurs (out indefinitely),activated from IL,21.0,197,2011.0,2012.0
59,59,951,2013-11-19,2013-02-08,1610612748,Heat,Ray Allen,illness/flu (DNP),activated from IL,21.0,284,2012.0,2013.0
60,60,951,2014-04-02,2013-12-27,1610612748,Heat,Ray Allen,right knee tendinitis (DNP),activated from IL,21.0,96,2013.0,2013.0
61,61,956,2011-05-31,2011-04-10,1610612748,Heat,Erick Dampier,placed on IL with knee injury / rest,activated from IL,2.0,51,2010.0,2010.0
62,62,956,2012-04-26,2012-04-18,1610612737,Hawks,Erick Dampier,calf injury (DTD),returned to lineup,2.0,8,2011.0,2011.0
63,63,959,2012-12-22,2010-11-20,1610612756,Suns,Steve Nash,strained groin (DNP),activated from IL,47.0,763,2010.0,2012.0
64,64,959,2014-02-04,2013-04-02,1610612747,Lakers,Steve Nash,strained right hamstring (DNP),activated from IL,47.0,308,2012.0,2013.0
65,65,959,2014-03-21,2014-02-05,1610612747,Lakers,Steve Nash,rest (DNP),activated from IL,47.0,44,2013.0,2013.0
66,66,959,2015-04-01,2014-03-23,1610612747,Lakers,Steve Nash,nerve root irritation (DNP),returned to lineup,47.0,374,2013.0,2014.0
67,67,965,2013-04-17,2012-03-17,1610612745,Rockets,Derek Fisher,placed on IL,activated from IL,3.0,396,2011.0,2012.0
68,68,977,2013-12-08,2012-04-07,1610612747,Lakers,Kobe Bryant,bruised left shin (DNP),activated from IL,35.0,610,2011.0,2013.0
69,69,977,2014-12-28,2013-12-19,1610612747,Lakers,Kobe Bryant,fractured left tibia (out for season),returned to lineup,35.0,374,2013.0,2014.0
70,70,977,2015-01-07,2015-01-05,1610612747,Lakers,Kobe Bryant,rest (DTD),returned to lineup,35.0,2,2014.0,2014.0
71,71,977,2015-01-13,2015-01-09,1610612747,Lakers,Kobe Bryant,rest (DTD),returned to lineup,35.0,4,2014.0,2014.0
72,72,977,2015-01-21,2015-01-16,1610612747,Lakers,Kobe Bryant,rest (DTD),returned to lineup,35.0,5,2014.0,2014.0
73,73,977,2015-11-13,2015-01-22,1610612747,Lakers,Kobe Bryant,torn rotator cuff in right shoulder (out for season),activated from IL,35.0,295,2014.0,2015.0
74,74,977,2015-11-20,2015-11-16,1610612747,Lakers,Kobe Bryant,placed on IL for rest / back injury,activated from IL,35.0,4,2015.0,2015.0
75,75,977,2015-12-22,2015-12-19,1610612747,Lakers,Kobe Bryant,sore right shoulder (DTD),returned to lineup,35.0,3,2015.0,2015.0
76,76,977,2016-01-07,2016-01-01,1610612747,Lakers,Kobe Bryant,placed on IL with sore right shoulder,activated from IL,35.0,6,2015.0,2015.0
77,77,977,2016-01-12,2016-01-10,1610612747,Lakers,Kobe Bryant,strained right Achilles (DTD),returned to lineup,35.0,2,2015.0,2015.0
78,78,977,2016-01-28,2016-01-26,1610612747,Lakers,Kobe Bryant,placed on IL with sore shoulder,activated from IL,35.0,2,2015.0,2015.0
79,79,977,2016-01-31,2016-01-29,1610612747,Lakers,Kobe Bryant,placed on IL,activated from IL,35.0,2,2015.0,2015.0
80,80,977,2016-03-02,2016-02-26,1610612747,Lakers,Kobe Bryant,placed on IL with sore right shoulder,activated from IL,35.0,5,2015.0,2015.0
81,81,977,2016-03-06,2016-03-04,1610612747,Lakers,Kobe Bryant,placed on IL with sore right shoulder,activated from IL,35.0,2,2015.0,2015.0
82,82,977,2016-03-10,2016-03-08,1610612747,Lakers,Kobe Bryant,sore right shoulder (DTD),returned to lineup,35.0,2,2015.0,2015.0
83,83,977,2016-03-22,2016-03-15,1610612747,Lakers,Kobe Bryant,placed on IL with sore right shoulder,activated from IL,35.0,7,2015.0,2015.0
84,84,978,2010-11-13,2010-11-03,1610612766,Hornets,Peja Stojakovic,placed on IL,activated from IL,12.0,10,2010.0,2010.0
85,85,978,2011-02-07,2010-11-28,1610612761,Raptors,Peja Stojakovic,swollen left knee (DNP),activated from IL,12.0,71,2010.0,2010.0
86,86,978,2011-03-20,2011-03-09,1610612742,Mavericks,Peja Stojakovic,placed on IL with stiff neck / back injury (CBC),activated from IL,12.0,11,2010.0,2010.0
87,87,979,2010-11-02,2010-10-29,1610612738,Celtics,Jermaine O'Neal,placed on IL with left knee injury,activated from IL,38.0,4,2010.0,2010.0
88,88,979,2010-12-25,2010-11-11,1610612738,Celtics,Jermaine O'Neal,sore left knee (DNP),activated from IL,38.0,44,2010.0,2010.0
89,89,979,2011-03-31,2011-01-12,1610612738,Celtics,Jermaine O'Neal,sore left knee (DNP),activated from IL,38.0,78,2010.0,2010.0
90,90,979,2011-04-10,2011-04-08,1610612738,Celtics,Jermaine O'Neal,placed on IL for rest,activated from IL,38.0,2,2010.0,2010.0
91,91,979,2012-01-04,2011-04-13,1610612738,Celtics,Jermaine O'Neal,rest (DNP),activated from IL,38.0,266,2010.0,2011.0
92,92,979,2012-02-15,2012-01-26,1610612738,Celtics,Jermaine O'Neal,sore left knee (DNP),activated from IL,38.0,20,2011.0,2011.0
93,93,979,2012-04-20,2012-02-22,1610612738,Celtics,Jermaine O'Neal,placed on IL with left wrist injury,activated from IL,38.0,58,2011.0,2011.0
94,94,979,2012-12-31,2012-12-02,1610612756,Suns,Jermaine O'Neal,strained right quadricep (DNP),activated from IL,38.0,29,2012.0,2012.0
95,95,979,2013-02-05,2013-01-14,1610612756,Suns,Jermaine O'Neal,back spasms (DNP),activated from IL,38.0,22,2012.0,2012.0
96,96,979,2013-11-26,2013-03-22,1610612756,Suns,Jermaine O'Neal,strained left calf (DNP),activated from IL,38.0,249,2012.0,2013.0
97,97,979,2014-02-04,2013-12-11,1610612744,Warriors,Jermaine O'Neal,sprained right wrist (DNP),activated from IL,38.0,55,2013.0,2013.0
98,98,979,2014-02-19,2014-02-10,1610612744,Warriors,Jermaine O'Neal,placed on IL with sore right wrist (P) / back injury (CBC),activated from IL,38.0,9,2013.0,2013.0
99,99,980,2011-03-27,2011-03-12,1610612748,Heat,Zydrunas Ilgauskas,placed on IL with foot infection,activated from IL,3.0,15,2010.0,2010.0
100,100,980,2011-05-22,2011-05-15,1610612748,Heat,Zydrunas Ilgauskas,placed on IL,activated from IL,3.0,7,2010.0,2010.0
101,101,1112,2011-01-22,2011-01-12,1610612765,Pistons,Ben Wallace,placed on IL with left ankle injury,activated from IL,5.0,10,2010.0,2010.0
102,102,1112,2011-04-01,2011-03-23,1610612765,Pistons,Ben Wallace,left knee injury (DTD),activated from IL,5.0,9,2010.0,2010.0
103,103,1112,2011-04-01,2011-03-23,1610612765,Pistons,Ben Wallace,placed on IL with sore left knee,activated from IL,5.0,9,2010.0,2010.0
104,104,1112,2012-04-26,2011-04-06,1610612765,Pistons,Ben Wallace,placed on IL with sore right knee (out for season),activated from IL,5.0,386,2010.0,2011.0
105,105,1495,2011-03-21,2011-03-19,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,2,2010.0,2010.0
106,106,1495,2011-03-31,2011-03-21,1610612759,Spurs,Tim Duncan,sprained left ankle (out indefinitely),activated from IL,43.0,10,2010.0,2010.0
107,107,1495,2013-02-02,2011-04-12,1610612759,Spurs,Tim Duncan,rest (DNP),activated from IL,43.0,662,2010.0,2012.0
108,108,1495,2013-02-13,2013-02-06,1610612759,Spurs,Tim Duncan,placed on IL with sprained left knee,activated from IL,43.0,7,2012.0,2012.0
109,109,1495,2013-03-14,2013-03-12,1610612759,Spurs,Tim Duncan,placed on IL with sore left knee,activated from IL,43.0,2,2012.0,2012.0
110,110,1495,2013-04-03,2013-04-01,1610612759,Spurs,Tim Duncan,placed on IL with sore left knee / rest,activated from IL,43.0,2,2012.0,2012.0
111,111,1495,2013-11-01,2013-04-15,1610612759,Spurs,Tim Duncan,sore left knee (DNP),activated from IL,43.0,200,2012.0,2013.0
112,112,1495,2013-12-21,2013-11-01,1610612759,Spurs,Tim Duncan,placed on IL with bruised chest,activated from IL,43.0,50,2013.0,2013.0
113,113,1495,2014-03-24,2014-02-06,1610612759,Spurs,Tim Duncan,rest (DNP),activated from IL,43.0,46,2013.0,2013.0
114,114,1495,2014-04-14,2014-04-11,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,3,2013.0,2013.0
115,115,1495,2014-11-08,2014-04-16,1610612759,Spurs,Tim Duncan,placed on IL,returned to lineup,43.0,206,2013.0,2014.0
116,116,1495,2014-12-03,2014-12-01,1610612759,Spurs,Tim Duncan,rest (DTD),returned to lineup,43.0,2,2014.0,2014.0
117,117,1495,2014-12-12,2014-12-10,1610612759,Spurs,Tim Duncan,rest (DTD),returned to lineup,43.0,2,2014.0,2014.0
118,118,1495,2014-12-17,2014-12-15,1610612759,Spurs,Tim Duncan,rest (DTD),returned to lineup,43.0,2,2014.0,2014.0
119,119,1495,2014-12-22,2014-12-20,1610612759,Spurs,Tim Duncan,rest (DTD),returned to lineup,43.0,2,2014.0,2014.0
120,120,1495,2015-11-28,2015-11-27,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,1,2015.0,2015.0
121,121,1495,2015-12-09,2015-12-07,1610612759,Spurs,Tim Duncan,placed on IL,activated from IL,43.0,2,2015.0,2015.0
122,122,1495,2015-12-18,2015-12-16,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,2,2015.0,2015.0
123,123,1495,2016-01-02,2015-12-26,1610612759,Spurs,Tim Duncan,placed on IL with right knee injury,returned to lineup,43.0,7,2015.0,2015.0
124,124,1495,2016-01-22,2016-01-21,1610612759,Spurs,Tim Duncan,placed on IL,activated from IL,43.0,1,2015.0,2015.0
125,125,1495,2016-02-10,2016-01-24,1610612759,Spurs,Tim Duncan,sore right knee (DTD),activated from IL,43.0,17,2015.0,2015.0
126,126,1495,2016-03-07,2016-03-05,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,2,2015.0,2015.0
127,127,1495,2016-03-10,2016-03-08,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,2,2015.0,2015.0
128,128,1495,2016-03-30,2016-03-26,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,4,2015.0,2015.0
129,129,1495,2016-04-12,2016-04-10,1610612759,Spurs,Tim Duncan,placed on IL,activated from IL,43.0,2,2015.0,2015.0
130,130,1495,2016-04-17,2016-04-13,1610612759,Spurs,Tim Duncan,placed on IL for rest,activated from IL,43.0,4,2015.0,2015.0
131,131,1497,2010-11-28,2010-11-22,1610612743,Nuggets,Chauncey Billups,placed on IL with broken nose and sprained right wrist,activated from IL,28.0,6,2010.0,2010.0
132,132,1497,2011-02-10,2010-12-14,1610612743,Nuggets,Chauncey Billups,sprained right wrist (DNP),activated from IL,28.0,58,2010.0,2010.0
133,133,1497,2011-03-13,2011-03-02,1610612752,Knicks,Chauncey Billups,placed on IL with bruised left thigh,activated from IL,28.0,11,2010.0,2010.0
134,134,1497,2011-04-24,2011-04-13,1610612752,Knicks,Chauncey Billups,rest (DNP),activated from IL,28.0,11,2010.0,2010.0
135,135,1497,2012-11-28,2011-12-30,1610612746,Clippers,Chauncey Billups,sore right groin (DNP),activated from IL,28.0,334,2011.0,2012.0
136,136,1497,2013-02-08,2012-12-05,1610612746,Clippers,Chauncey Billups,placed on IL with sore left foot,activated from IL,28.0,65,2012.0,2012.0
137,137,1497,2013-03-27,2013-02-11,1610612746,Clippers,Chauncey Billups,sore lower back (DNP),activated from IL,28.0,44,2012.0,2012.0
138,138,1497,2013-04-16,2013-03-29,1610612746,Clippers,Chauncey Billups,placed on IL with strained right groin,activated from IL,28.0,18,2012.0,2012.0
139,139,1497,2013-12-10,2013-11-15,1610612765,Pistons,Chauncey Billups,placed on IL with tendinitis in knee,activated from IL,28.0,25,2013.0,2013.0
140,140,1497,2013-12-13,2013-12-11,1610612765,Pistons,Chauncey Billups,placed on IL,activated from IL,28.0,2,2013.0,2013.0
141,141,1497,2013-12-18,2013-12-16,1610612765,Pistons,Chauncey Billups,placed on IL,activated from IL,28.0,2,2013.0,2013.0
142,142,1497,2013-12-23,2013-12-21,1610612765,Pistons,Chauncey Billups,placed on IL,activated from IL,28.0,2,2013.0,2013.0
143,143,1497,2014-02-01,2014-01-18,1610612765,Pistons,Chauncey Billups,placed on IL,activated from IL,28.0,14,2013.0,2013.0
144,144,1499,2011-01-17,2011-01-05,1610612755,76ers,Tony Battie,rotator cuff injury (DTD),activated from IL,4.0,12,2010.0,2010.0
145,145,1499,2011-02-23,2011-02-11,1610612755,76ers,Tony Battie,placed on IL with sprained wrist,activated from IL,4.0,12,2010.0,2010.0
146,146,1499,2011-04-01,2011-03-28,1610612755,76ers,Tony Battie,illness (DTD),returned to lineup,4.0,4,2010.0,2010.0
147,147,1503,2011-04-03,2011-02-26,1610612765,Pistons,Tracy McGrady,headache (DNP),activated from IL,15.0,36,2010.0,2010.0
148,148,1503,2012-01-07,2011-04-11,1610612765,Pistons,Tracy McGrady,rest (DNP),activated from IL,15.0,271,2010.0,2011.0
149,149,1503,2013-04-28,2012-01-11,1610612737,Hawks,Tracy McGrady,back spasms (DNP),activated from IL,15.0,473,2011.0,2012.0
150,150,1515,2011-01-07,2011-01-05,1610612739,Cavaliers,Anthony Parker,placed on IL with sore back,activated from IL,12.0,2,2010.0,2010.0
151,151,1515,2011-01-21,2011-01-07,1610612739,Cavaliers,Anthony Parker,strained lower back (DNP),activated from IL,12.0,14,2010.0,2010.0
152,152,1515,2012-01-20,2011-01-22,1610612739,Cavaliers,Anthony Parker,strained lower back (DNP),activated from IL,12.0,363,2010.0,2011.0
153,153,1515,2012-02-28,2012-01-31,1610612739,Cavaliers,Anthony Parker,strained lower back (DNP),activated from IL,12.0,28,2011.0,2011.0
154,154,1515,2012-02-28,2012-01-31,1610612739,Cavaliers,Anthony Parker,placed on IL with strained lower back,activated from IL,12.0,28,2011.0,2011.0
155,155,1515,2012-04-10,2012-04-06,1610612739,Cavaliers,Anthony Parker,sternum injury (DTD),returned to lineup,12.0,4,2011.0,2011.0
156,156,1536,2012-01-22,2012-01-20,1610612749,Bucks,Stephen Jackson,placed on IL for suspension,activated from IL,24.0,2,2011.0,2011.0
157,157,1536,2012-03-17,2012-01-30,1610612749,Bucks,Stephen Jackson,DNP,activated from IL,24.0,47,2011.0,2011.0
158,158,1536,2012-11-10,2012-04-08,1610612759,Spurs,Stephen Jackson,DNP,activated from IL,24.0,216,2011.0,2012.0
159,159,1536,2012-12-17,2012-11-19,1610612759,Spurs,Stephen Jackson,fractured right pinky finger (out indefinitely),activated from IL,24.0,28,2012.0,2012.0
160,160,1536,2013-04-06,2013-01-05,1610612759,Spurs,Stephen Jackson,sprained right ankle (DNP),activated from IL,24.0,91,2012.0,2012.0
161,161,1712,2010-11-09,2010-11-02,1610612739,Cavaliers,Antawn Jamison,placed on IL with sore left knee,activated from IL,6.0,7,2010.0,2010.0
162,162,1713,2010-11-30,2010-11-24,1610612753,Magic,Vince Carter,placed on IL with sprained left knee,activated from IL,15.0,6,2010.0,2010.0
163,163,1713,2010-12-29,2010-12-23,1610612756,Suns,Vince Carter,placed on IL with sore left knee,activated from IL,15.0,6,2010.0,2010.0
164,164,1713,2011-03-06,2011-03-04,1610612756,Suns,Vince Carter,placed on IL with head injury / dizziness,activated from IL,15.0,2,2010.0,2010.0
165,165,1713,2012-01-27,2011-04-11,1610612756,Suns,Vince Carter,bruised left hip / knee injury (DNP),activated from IL,15.0,291,2010.0,2011.0
166,166,1713,2015-03-06,2013-02-04,1610612742,Mavericks,Vince Carter,illness (DNP),activated from IL,15.0,760,2012.0,2014.0
167,167,1713,2016-03-19,2016-03-12,1610612763,Grizzlies,Vince Carter,strained left calf (DTD),returned to lineup,15.0,7,2015.0,2015.0
168,168,1713,2016-12-13,2016-11-29,1610612763,Grizzlies,Vince Carter,sore right hip (DTD),returned to lineup,15.0,14,2016.0,2016.0
169,169,1713,2017-11-22,2017-02-08,1610612763,Grizzlies,Vince Carter,rest (DTD),activated from IL,15.0,287,2016.0,2017.0
170,170,1713,2017-12-26,2017-12-23,1610612758,Kings,Vince Carter,rib injury (DTD),returned to lineup,15.0,3,2017.0,2017.0
171,171,1715,2010-11-24,2010-11-18,1610612753,Magic,Jason Williams,foot injury (DTD),returned to lineup,7.0,6,2010.0,2010.0
172,172,1717,2011-01-15,2010-12-28,1610612742,Mavericks,Dirk Nowitzki,placed on IL with sprained right knee,activated from IL,36.0,18,2010.0,2010.0
173,173,1717,2012-01-29,2012-01-21,1610612742,Mavericks,Dirk Nowitzki,sore right knee (DNP),activated from IL,36.0,8,2011.0,2011.0
174,174,1717,2012-12-23,2012-10-19,1610612742,Mavericks,Dirk Nowitzki,arthroscopic surgery on right knee (out indefinitely),activated from IL,36.0,65,2012.0,2012.0
175,175,1717,2013-12-18,2013-01-31,1610612742,Mavericks,Dirk Nowitzki,strained right adductor (DNP),activated from IL,36.0,321,2012.0,2013.0
176,176,1717,2014-01-24,2014-01-22,1610612742,Mavericks,Dirk Nowitzki,placed on IL for rest,activated from IL,36.0,2,2013.0,2013.0
177,177,1717,2014-12-02,2014-11-29,1610612742,Mavericks,Dirk Nowitzki,rest (DTD),returned to lineup,36.0,3,2014.0,2014.0
178,178,1717,2014-12-05,2014-12-03,1610612742,Mavericks,Dirk Nowitzki,sore back (DTD),returned to lineup,36.0,2,2014.0,2014.0
179,179,1717,2015-01-16,2015-01-14,1610612742,Mavericks,Dirk Nowitzki,rest (DTD),returned to lineup,36.0,2,2014.0,2014.0
180,180,1717,2015-02-07,2015-02-05,1610612742,Mavericks,Dirk Nowitzki,rest (DTD),returned to lineup,36.0,2,2014.0,2014.0
181,181,1717,2016-01-08,2016-01-06,1610612742,Mavericks,Dirk Nowitzki,placed on IL for rest,activated from IL,36.0,2,2015.0,2015.0
182,182,1717,2016-01-22,2016-01-13,1610612742,Mavericks,Dirk Nowitzki,rest (DTD),activated from IL,36.0,9,2015.0,2015.0
183,183,1717,2016-02-01,2016-01-27,1610612742,Mavericks,Dirk Nowitzki,rest (DTD),activated from IL,36.0,5,2015.0,2015.0
184,184,1717,2016-10-30,2016-03-25,1610612742,Mavericks,Dirk Nowitzki,rest (DTD),activated from IL,36.0,219,2015.0,2016.0
185,185,1717,2016-11-02,2016-10-30,1610612742,Mavericks,Dirk Nowitzki,illness (DTD),returned to lineup,36.0,3,2016.0,2016.0
186,186,1717,2016-11-23,2016-11-04,1610612742,Mavericks,Dirk Nowitzki,sore right Achilles (DTD),activated from IL,36.0,19,2016.0,2016.0
187,187,1717,2016-12-23,2016-11-27,1610612742,Mavericks,Dirk Nowitzki,sore/strained right Achilles (DTD),activated from IL,36.0,26,2016.0,2016.0
188,188,1717,2016-12-30,2016-12-29,1610612742,Mavericks,Dirk Nowitzki,placed on IL with illness,activated from IL,36.0,1,2016.0,2016.0
189,189,1717,2017-01-29,2017-01-26,1610612742,Mavericks,Dirk Nowitzki,rest (DTD),returned to lineup,36.0,3,2016.0,2016.0
190,190,1717,2017-04-05,2017-04-04,1610612742,Mavericks,Dirk Nowitzki,sore right Achilles (DTD),returned to lineup,36.0,1,2016.0,2016.0
