Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
中国,01/21/2020,41,14,27.3,17.1,,0,,6.7,,6.2,0,52.07,Clear
中国,01/22/2020,42.8,17.6,28.1,8.4,,0,,11.2,,6.2,0,56.74,Clear
中国,01/23/2020,48.2,17.6,31.5,8.4,,0,,13.4,,6,0,54.35,Clear
中国,01/24/2020,39.2,17.6,28.4,12.9,,0,,11.2,,5.8,0,51.08,Clear
中国,01/25/2020,41,15.8,27.1,10.8,,0,,8.9,,4.6,0,62.13,Clear
中国,01/26/2020,39.2,14,26.5,12.7,,0,,6.7,,3.7,0,68.66,Clear
中国,01/27/2020,42.8,23,32,17.1,,0,,6.7,,3.9,0,58.16,Clear
中国,01/28/2020,44.6,23,32,17.1,,0,,4.5,,3.4,0,62.69,Clear
中国,01/29/2020,46.4,24.8,34,19.2,,0,,8.9,,4.8,0,55.96,Clear
中国,01/30/2020,44.6,15.8,30.3,27.6,,0,,8.9,,6.2,0,58.12,Clear
中国,01/31/2020,50,15.8,32.4,27.6,,0,,15.7,20.1,6.1,0,50.75,Clear
中国,02/01/2020,42.8,28.4,34.5,20.9,,0,,11.2,,6.2,0,29.23,Clear
中国,02/02/2020,39.2,24.8,31.5,15.3,,0,,17.9,,3.8,49.5,67.94,Partially cloudy
中国,02/03/2020,37.4,12.2,24.7,8.7,,0,,13.4,,6.2,0,47.92,Clear
中国,02/04/2020,35.6,15.8,27,8.4,,0,,15.7,,6.2,0,33.78,Clear
中国,02/05/2020,24.8,12.1,20.1,8.7,,0,,6.7,,4.8,65.7,68.28,Partially cloudy
中国,02/06/2020,24.8,17.6,20.9,10.6,,0,,6.7,,3.3,77.8,83.13,Overcast
中国,02/07/2020,33.8,14,24,2.2,,0,,8.9,,5,5.8,74.58,Clear
中国,02/08/2020,44.6,14,29.3,6.6,,0,,8.9,,5.7,0,62.26,Clear
中国,02/09/2020,48.2,17.6,30.6,19.2,,0,,4.5,,4,0,70.43,Clear
中国,02/10/2020,53.6,21.2,34.5,14.9,,0,,6.7,,3.5,0,67.62,Clear
中国,02/11/2020,51.8,23,34.8,23.4,,0,,6.7,13.4,2.5,0,76.71,Clear
中国,02/12/2020,53.6,24.8,36.6,19.2,,0,,4.5,,2,0,77.25,Clear
中国,02/13/2020,46.4,26.6,37.4,21.4,,0,,6.7,,1.1,48.1,91.24,Partially cloudy
中国,02/14/2020,46.4,28.4,34.9,19.9,,0,,15.7,47,3.5,64.4,83.7,Partially cloudy
中国,02/15/2020,32,23,26.7,6.8,,0,,26.8,33.6,6.2,0,41.82,Clear
中国,02/16/2020,39.2,24.8,30.7,10.5,,0,,24.6,,6.2,0,36.55,Clear
中国,02/17/2020,48.2,24.8,34.4,17.6,,0,,15.7,29.1,6.2,0,42.03,Clear
中国,02/18/2020,51.8,21.2,35.9,14.9,,0,,8.9,,6.2,0,57.44,Clear
中国,02/19/2020,48.2,26.6,36,21.3,,0,,8.9,,5.9,0,65.7,Clear
中国,02/20/2020,41,26.6,34.2,27.6,,0,,6.7,,2.8,0,81.18,Clear
中国,02/21/2020,51.8,28.4,39,31.3,,0,,24.6,29.1,3.9,0,57.92,Clear
中国,02/22/2020,50,28.4,39.6,22.1,,0,,15.7,,6.2,0,28.32,Clear
中国,02/23/2020,50,24.8,36.2,19.2,,0,,6.7,,6.2,0,53.36,Clear
中国,02/24/2020,48.2,26.6,39.6,21.3,,0,,11.2,,6.2,0,55.06,Clear
中国,02/25/2020,50,37.4,43.5,34.4,,0,,11.2,,6.2,0,45.44,Clear
中国,02/26/2020,48.2,30.2,40.5,31.8,,0,,11.2,,6.2,0,48.06,Clear
中国,02/27/2020,41,32,37,25.7,,0,,13.4,,6.2,0,51.91,Clear
中国,02/28/2020,48.2,24.8,37.1,27.6,,0,,11.2,,6.2,0,60.41,Clear
中国,02/29/2020,37.4,35.6,37,31.8,,0,,4.5,,2,62.5,92.27,Partially cloudy
中国,03/01/2020,51.8,26.6,40.8,21.3,,0,,24.6,35.8,4.4,26.4,58.16,Partially cloudy
中国,03/02/2020,46.4,21.2,36.3,21.3,,0,,13.4,,5.9,19,54.84,Clear
中国,03/03/2020,46.4,30.2,37.2,23.1,,0,,24.6,38,5,9,47.82,Clear
中国,03/04/2020,44.6,19.4,33.6,10.6,,0,,11.2,,6.2,0,34.48,Clear
中国,03/05/2020,48.2,19.4,35.7,23.4,,0,,15.7,,6.2,0,45.93,Clear
中国,03/06/2020,51.8,26.6,39,31.8,,0,,11.2,,5,16.7,68.32,Clear
中国,03/07/2020,59,33.8,46.2,26.5,,0,,11.2,,4.5,0,60.33,Clear
中国,03/08/2020,42.8,39.2,40.3,33.1,,0,,8.9,,1.7,31.9,92.44,Partially cloudy
中国,03/09/2020,53.6,35.6,45,31.8,,0,,13.4,,4.1,27.3,79.91,Partially cloudy
中国,03/10/2020,51.8,26.6,39.9,21.3,,0,,29.1,35.8,6.2,0,46.63,Clear
中国,03/11/2020,59,23,40.5,33.8,,0,,6.7,15.9,6.3,2,48.24,Clear
中国,03/12/2020,57.2,32,46.8,23.1,,0,,13.4,,6.2,0,34,Clear
中国,03/13/2020,53.6,26.6,44.3,27.6,,0,,22.4,35.8,6.6,0.5,19.68,Clear
中国,03/14/2020,62.5,26.6,47.7,35.3,,0,,20.1,28.2,7,0,28.7,Clear
中国,03/15/2020,64.4,35.6,50.3,30,,0,,13.4,,6.2,0,33.05,Clear
中国,03/16/2020,53.6,26.6,40.7,27.9,,0,,6.7,,6.2,0,48.85,Clear
中国,03/17/2020,71.6,30.2,52.6,23.5,,0,,13.4,13.4,6.2,0,40.45,Clear
中国,03/18/2020,77,35.6,53.6,31.8,,0,,33.6,51.4,6,0,38.13,Clear
中国,03/19/2020,64.4,41,53.2,38.1,,0,,26.8,26.8,6.2,0,16,Clear
中国,03/20/2020,77,37.4,56.7,33.9,,0,,17.9,29.1,6.2,0,28.89,Clear
中国,03/21/2020,64.4,48.2,57.9,44.2,,0,,11.2,,6.2,0,25.08,Clear
中国,03/22/2020,71.6,32,53.1,31.8,,0,,15.7,20.1,6.2,0,39.22,Clear
中国,03/23/2020,71.6,39.2,54.9,40.2,,0,,13.4,,6.2,0,36.5,Clear
中国,03/24/2020,64.4,37.4,52.4,33.9,,0,,8.9,,6.2,0,44.58,Clear
中国,03/25/2020,69.8,50,60.8,48.5,,0,,8.9,,4,0,50.05,Clear
中国,03/26/2020,59,41,48.7,32.9,,0,,24.6,26.8,6.1,7.8,43.39,Clear
中国,03/27/2020,59,35.6,46.5,28.7,,0,,22.4,33.6,6.2,0,16.31,Clear
中国,03/28/2020,57.2,26.6,43.7,25.5,,0,,11.2,,6.2,0,28.15,Clear
中国,03/29/2020,62.6,30.2,47.5,27.6,,0,,11.2,,6.2,0,39.88,Clear
中国,03/30/2020,64.4,35.6,52.1,31.8,,0,,11.2,20.1,6.2,0,49.1,Clear
中国,03/31/2020,66.2,44.6,55.5,42.3,,0,,11.2,,5.4,0,53.22,Clear
中国,04/01/2020,60.8,48.2,54.3,44.2,,0,,15.7,31.3,6.2,0,17.1,Clear
中国,04/02/2020,69.8,35.6,54.8,31.8,,0,,13.4,,6.2,0,31.25,Clear
中国,04/03/2020,77,37.4,59.7,33.9,,0,,13.4,22.4,6.2,0,27.13,Clear
中国,04/04/2020,66.2,48.2,58.6,45.2,,0,,17.9,29.1,6.2,0,22.63,Clear
中国,04/05/2020,64.4,33.8,51.5,38.1,,0,,8.9,,6.2,0,38.57,Clear
中国,04/06/2020,75.2,41,58.5,40.2,,0,,8.9,,6.2,0,40.02,Clear
中国,04/07/2020,64.4,48.1,57.1,46.4,,0,,13.4,14.3,6.1,0,33.53,Clear
中国,04/08/2020,60.8,35.6,50.8,31.8,,0,,11.2,,6.2,0,35.74,Clear
中国,04/09/2020,55.4,44.6,50.8,42.3,,0,,8.9,,6.2,0,44.09,Clear
中国,04/10/2020,64.4,41,53,38.1,,0,,6.7,,6.2,0,43.77,Clear
中国,04/11/2020,75.2,39.2,57.9,34.3,,0,,13.4,,6.2,0,28.78,Clear
中国,04/12/2020,80.6,46.4,63.4,44.2,78.5,0,,11.2,22.4,6.2,0,17.69,Clear
中国,04/13/2020,80.6,37.4,60.3,36,78.5,0,,11.2,,6.2,0,32.16,Clear
中国,04/14/2020,80.6,42.8,62.7,40.2,79,0,,13.4,,5.4,0,42.46,Clear
中国,04/15/2020,75.2,50,64.6,48.5,,0,,13.4,,5.6,0,46.57,Clear
中国,04/16/2020,68,50,57.8,46.4,,0,,24.6,29.1,6,5.8,59.94,Clear
中国,04/17/2020,69.8,50,60.6,47.3,,0,,17.9,26.8,6.2,0,44.37,Clear
中国,04/18/2020,71.6,41,59.7,38.1,,0,,6.7,,6.2,0,46.79,Clear
中国,04/19/2020,69.8,53.6,61.7,,,0,,26.8,15.7,6.2,3.4,50.44,Clear
中国,04/20/2020,60.8,42.8,54,40.2,,0,,33.6,42.5,6.2,0,24.59,Clear
中国,04/21/2020,55.4,37.4,48,33.9,,0,,29.1,40.3,6.2,0,17.48,Clear
中国,04/22/2020,60.8,42.8,51.3,34.6,,0,,24.6,38,6.2,0,12.78,Clear
中国,04/23/2020,68,46.4,57.2,41.2,,0,,22.4,26.8,6.2,0,12.62,Clear
中国,04/24/2020,86,39.2,67.6,40.2,82.8,0,,24.6,31.3,6,0,16.33,Clear
中国,04/25/2020,71.6,50,63.3,,,0,,20.1,26.8,6.2,0,19.1,Clear
中国,04/26/2020,73.4,39.2,58.5,36,,0,,8.9,20.1,6.2,0,34.98,Clear
中国,04/27/2020,77,39.2,60.1,36,,0,,13.4,20.1,6.2,0,42.52,Clear
中国,04/28/2020,84.2,42.8,65.3,42.3,81.5,0,,11.2,,6.2,0,47.05,Clear
中国,04/29/2020,80.6,53.6,70.4,,79.9,0,,8.9,,6.2,0,45.3,Clear
中国,04/30/2020,91.4,51.8,73.6,,89.5,0,,11.2,,4.5,0,54.99,Clear
中国,05/01/2020,93.2,60.8,78.4,,93.3,0,,11.2,,4.1,0,57.6,Clear
中国,05/02/2020,89.6,69.8,79.5,,91.2,0,,13.4,22.4,5.3,0,58.87,Clear
中国,05/03/2020,77,66.2,70.8,,,0,,8.9,,3.9,1.1,69.93,Clear
中国,05/04/2020,68,51.8,62.2,,,0,,11.2,17.9,6,0,66.56,Clear
中国,05/05/2020,77,48.2,62.6,,,0,,11.2,,5.4,0,69.89,Clear
中国,05/06/2020,77,59,68.1,,,0,,11.2,,3.9,18.5,62.95,Clear
中国,05/07/2020,66.2,60.8,63.3,,,0,,6.7,,4.5,8.3,65.07,Clear
中国,05/08/2020,60.8,55.4,58.5,,,0,,8.9,,4.2,85.3,86.72,Overcast
中国,05/09/2020,69.8,50,61.1,,,0,,8.9,,4.9,16.7,77.31,Clear
中国,05/10/2020,80.6,50,67.4,,78.7,0,,20.1,33.6,5.3,0,40.6,Clear
中国,05/11/2020,86,53.6,71.7,,82.6,0,,24.6,35.8,5.8,0,20.98,Clear
中国,05/12/2020,82.4,57.2,69.9,,79.9,0,,20.1,20.1,6.2,0,26,Clear
中国,05/13/2020,87.8,48.2,70.2,,85.1,0,,15.7,,6.2,0,53.45,Clear
中国,05/14/2020,87.8,66.2,75.9,,85.1,0,,15.7,,6.2,0,48.98,Clear
中国,05/15/2020,69.8,64.4,66.5,,,0,,8.9,,5.7,63,70.59,Partially cloudy
中国,05/16/2020,71.6,57.2,63.1,,,0,,8.9,,5,43.7,72.28,Partially cloudy
中国,05/17/2020,71.6,46.4,59.7,,,0,,20.1,24.6,6.2,4.4,48.51,Clear
中国,05/18/2020,82.4,48.2,67.2,45.2,80,0,,17.9,,6.2,0,33.63,Clear
中国,05/19/2020,87.8,55.4,73.9,,84.1,0,,13.4,22.4,6.2,3.4,31.82,Clear
中国,05/20/2020,87.8,59,74.7,,84.7,0,,13.4,,6.2,2.3,44.93,Clear
中国,05/21/2020,75.2,60.8,67,,,0,,11.2,,4.3,7,67.83,Clear
中国,05/22/2020,84.2,59,71.5,,82,0,,15.7,20.1,4.4,1.1,59.66,Clear
中国,05/23/2020,78.8,59,69.5,,,0,,15.7,31.3,6.2,27.7,58.29,Partially cloudy
中国,05/24/2020,86,55.4,73.3,,83.1,0,,8.9,17.9,6.2,0,45.81,Clear
中国,05/25/2020,73.4,60.8,67.1,,,0,,6.7,15.7,6.2,3.4,57.49,Clear
中国,05/26/2020,84.2,55.4,72.8,,81.3,0,,17.9,,6.2,0,46.32,Clear
中国,05/27/2020,84.2,64.4,75.5,,81.4,0,,15.7,,6.2,0,35.06,Clear
中国,05/28/2020,91.4,57.2,74.5,,88.1,0,,11.2,,6.2,3.2,50.85,Clear
中国,05/29/2020,84.2,62.6,74.1,,85,0,,8.9,,6.1,0,58.18,Clear
中国,05/30/2020,89.6,64.4,74.4,,87.4,0,,15.7,26.8,5.6,5.7,63.64,Clear
中国,05/31/2020,80.6,57.2,69.1,,79.1,0,,24.6,35.8,6.1,9.9,58.15,Clear
中国,06/01/2020,89.6,51.8,69.2,,86.4,0,,24.6,40.3,6.1,6.4,62.15,Clear
中国,06/02/2020,91.4,60.8,75.8,,89.5,0,,15.7,,6.2,0,52.63,Clear
中国,06/03/2020,98.6,62.6,80,,93.8,0,,26.8,38,6.1,0,42.85,Clear
中国,06/04/2020,89.6,60.8,77.1,,85.9,0,,13.4,,6.2,0,34.58,Clear
中国,06/05/2020,86,60.8,75.9,,83.9,0,,11.2,,6.2,0,46.15,Clear
中国,06/06/2020,87.8,59,74.9,,86.6,0,,11.2,,6.2,0,51.23,Clear
中国,06/07/2020,96.8,62.6,80.4,,98.3,0,,8.9,,6.2,0,49.44,Clear
中国,06/08/2020,100.4,68,86.5,,97,0,,20.1,31.3,5.3,0,44.2,Clear
中国,06/09/2020,82.4,73.4,78.4,,84.6,0,,11.2,,6.2,0,59.15,Clear
中国,06/10/2020,93.2,68,79.3,,92.6,0,,11.2,,4.9,0,60.34,Clear
中国,06/11/2020,86,66.2,76.8,,89.4,0,,15.7,,5.6,0,63.67,Clear
中国,06/12/2020,93.2,69.8,81.2,,91.9,0,,11.2,,6.2,0,50.94,Clear
中国,06/13/2020,91.4,73.4,82.4,,89.5,0,,15.7,20.1,5.3,0,50.14,Clear
中国,06/14/2020,96.8,69.8,84.7,,92.8,0,,13.4,22.4,6.2,0,26.35,Clear
中国,06/15/2020,100.4,62.6,85.2,,95.6,0,,8.9,,6.2,0,32.04,Clear
中国,06/16/2020,98.6,71.6,84.6,,94.3,0,,17.9,,6.2,0,36.11,Clear
中国,06/17/2020,89.6,71.6,81,,87.4,0,,13.4,15.7,6.2,0,43.01,Clear
中国,06/18/2020,89.6,69.8,78.3,,88.9,0,,15.7,,6.2,4.6,52.73,Clear
中国,06/19/2020,93.2,66.2,80.7,,91.9,0,,15.7,26.8,6.2,0,50.04,Clear
中国,06/20/2020,91.4,71.6,83.8,,94.3,0,,11.2,,6.2,0,48.31,Clear
中国,06/21/2020,96.8,77,86.7,,97.3,0,,13.4,24.6,6.2,0,46.56,Clear
中国,06/22/2020,93.2,75.2,84.1,,94.2,0,,15.7,,6.2,0,51.41,Clear
中国,06/23/2020,87.8,71.6,78.5,,90.3,0,,13.4,,5.5,2.3,65.76,Clear
中国,06/24/2020,86,68,76.5,,87.5,0,,11.2,,6.2,12.7,65.59,Clear
中国,06/25/2020,82.5,66.2,73.4,,84.8,0,,11.2,,5.9,11.6,78.59,Clear
中国,06/26/2020,84.2,64.4,73.7,,86.5,0,,6.7,,6.1,4.2,73.55,Clear
中国,06/27/2020,91.4,71.6,81.3,,93.2,0,,8.9,,5.1,1.1,63.77,Clear
中国,06/28/2020,89.6,71.6,82,,90.3,0,,8.9,,5.5,0,56.52,Clear
中国,06/29/2020,82.4,71.6,77.1,,83.4,0,,8.9,,6.2,0,64.03,Clear
中国,06/30/2020,95,68.1,82.9,,93.2,0,,8.9,,6.2,0,47.23,Clear
中国,07/01/2020,95,68,81.9,,96.2,0,,13.4,,6.2,5.5,55.34,Clear
中国,07/02/2020,84.2,69.8,77.3,,86.5,0,,11.2,,6.2,5.7,71.03,Clear
中国,07/03/2020,82.4,69.8,75,,84,0,,11.2,,4.4,36.8,77.92,Partially cloudy
中国,07/04/2020,86,66.2,77.4,,88.4,0,,11.2,,6,0,68.68,Clear
中国,07/05/2020,91.4,69.8,77.7,,93.2,0,,11.2,,6.2,6.6,70.67,Clear
中国,07/06/2020,91.4,66.2,77.6,,94.3,0,,6.7,,6.2,4.6,69.54,Clear
中国,07/07/2020,93.2,68,81.1,,89.8,0,,11.2,,6.2,0,51.09,Clear
中国,07/08/2020,91.4,68,81.1,,91.4,0,,13.4,,6.2,0,57.73,Clear
中国,07/09/2020,80.6,66.2,71.3,,82.3,0,,13.4,,5.1,19.8,84.27,Clear
中国,07/10/2020,77,68,72.3,,,0,,11.2,,4.6,2.1,81.61,Clear
中国,07/11/2020,78.8,69.8,74.1,,,0,,4.5,,2.6,37.9,87.02,Partially cloudy
中国,07/12/2020,82.4,71.6,76.2,,87.2,0,,4.5,,2.3,24.9,84.13,Clear
中国,07/13/2020,87.8,71.6,77.6,,90.3,0,,8.9,,4.2,1.1,76.44,Clear
中国,07/14/2020,91.4,68,80.6,,94.3,0,,8.9,,6.2,1.1,65.49,Clear
中国,07/15/2020,95,69.8,83.1,,98.5,0,,11.2,,6.2,0,60.87,Clear
中国,07/16/2020,93.2,71.6,83.3,,99.2,0,,11.2,17.9,6.1,0,64.02,Clear
中国,07/17/2020,86,69.8,80.7,,90.6,0,,13.4,,5.7,9.3,70.25,Clear
中国,07/18/2020,78.8,68,74,,,0,,8.9,,4.2,43,87.69,Partially cloudy
中国,07/19/2020,93.2,68,78.3,,91.4,0,,6.7,,4.9,4.2,70.09,Clear
中国,07/20/2020,95,66.2,80.6,,99.8,0,,6.7,,5.6,0,67.22,Clear
中国,07/21/2020,93.2,75.2,83.9,,95.6,0,,11.2,,6.2,0,57.8,Clear
中国,07/22/2020,91.4,69.8,81.3,,93.5,0,,8.9,,6.2,4.4,61.71,Clear
中国,07/23/2020,91.4,68,81.6,,94.3,0,,6.7,,6.2,0,58.34,Clear
中国,07/24/2020,100.4,71.6,87.9,,100.6,0,,8.9,15.7,6.2,0,48.93,Clear
中国,07/25/2020,93.2,71.6,83.5,,96.4,0,,6.7,15.7,6.2,0,56.83,Clear
中国,07/26/2020,84.2,69.8,75,,86.5,0,,17.9,29.1,5.4,40.9,74.72,Partially cloudy
中国,07/27/2020,75.2,69.8,72,,,0,,6.7,,3,46.3,91.35,Partially cloudy
中国,07/28/2020,86,71.6,74.8,,93.5,0,,13.4,,3.4,9,88.91,Clear
中国,07/29/2020,86,69.8,77.8,,95.2,0,,4.5,,3.4,14.3,84.21,Clear
中国,07/30/2020,93.2,75.2,83.4,,102.7,0,,8.9,,4.1,3.7,77,Clear
中国,07/31/2020,91.4,73.4,80.6,,102.7,0,,15.7,24.6,4.7,13,81.32,Clear
中国,08/01/2020,86,71.6,77.8,,95.2,0,,24.6,40.3,4.7,18.3,82,Clear
中国,08/02/2020,93.2,69.8,81.1,,99.2,0,,20.1,38,6.2,4.8,69.24,Clear
中国,08/03/2020,96.8,71.6,84.3,,98.3,0,,13.4,22.4,6.2,0,61.89,Clear
中国,08/04/2020,98.6,71.6,84.7,,102.8,0,,6.7,,6.2,0,61.98,Clear
中国,08/05/2020,86,75.2,79.3,,90.9,0,,13.4,,6,6.5,79.84,Clear
中国,08/06/2020,89.6,71.6,81.3,,98.2,0,,6.7,,6,0,77.36,Clear
中国,08/07/2020,91.4,75.2,81.9,,95.9,0,,6.7,,5.8,3.4,73.52,Clear
中国,08/08/2020,87.8,71.6,80.3,,92.7,0,,6.7,,6.2,3.4,69.57,Clear
中国,08/09/2020,95,66.2,82.4,,99.2,0,,11.2,20.1,6.1,8.5,67.66,Clear
中国,08/10/2020,91.4,68,79.3,,94.3,0,,8.9,,6,0,71.14,Clear
中国,08/11/2020,96.8,73.4,84.7,,101.4,0,,6.7,,6.2,0,68.49,Clear
中国,08/12/2020,87.8,71.6,79,,97.8,0,,13.4,38,5.1,21,83.88,Clear
中国,08/13/2020,91.4,71.6,80.1,,100.5,0,,13.4,,6.1,15.4,80.86,Clear
中国,08/14/2020,93.2,75.2,84.6,,105,0,,8.9,,6,5.5,74.71,Clear
中国,08/15/2020,87.8,73.4,79.8,,99.9,0,,15.7,26.8,6,3.2,85.66,Clear
中国,08/16/2020,82.4,73.4,77.1,,88.3,0,,8.9,17.9,4.8,20.6,85.75,Clear
中国,08/17/2020,78.8,75.2,76.8,,,0,,6.7,,3.4,18.3,89.4,Clear
中国,08/18/2020,78.8,69.8,74.3,,,0,,17.9,,4.6,49.1,90.37,Partially cloudy
中国,08/19/2020,78.8,69.8,73.6,,,0,,8.9,,6.2,0,77.1,Clear
中国,08/20/2020,82.4,66.2,73.5,,84,0,,8.9,,6,29.9,79.08,Partially cloudy
中国,08/21/2020,84.2,64.4,74,,85.7,0,,8.9,,6.2,0,72.41,Clear
中国,08/22/2020,82.4,64.4,74.1,,84,0,,11.2,,6.2,0,71,Clear
中国,08/23/2020,84.2,66.2,74.6,,86.5,0,,11.2,,5.2,20.8,78.98,Clear
中国,08/24/2020,93.2,68,77.7,,95.2,0,,13.4,,6,20.6,73.05,Clear
中国,08/25/2020,95,68,80.8,,99.2,0,,6.7,,6.2,1.1,72.24,Clear
中国,08/26/2020,84.2,71.6,77.9,,92.4,0,,6.7,,4.9,0,82.47,Clear
中国,08/27/2020,86,71.6,79.2,,93.5,0,,6.7,,5.4,0,74.97,Clear
中国,08/28/2020,89.6,66.2,77.6,,91.4,0,,8.9,,6.2,0,71.38,Clear
中国,08/29/2020,86,71.6,78.6,,93.5,0,,6.7,,5.5,0,80.1,Clear
中国,08/30/2020,86.1,75.2,79.1,,93.7,0,,6.7,,4.5,0,80.87,Clear
中国,08/31/2020,77.1,66.2,73,,,0,,15.7,,5.9,0,81.57,Clear
中国,09/01/2020,93.2,64.4,76.2,,90.5,0,,15.7,24.6,6.2,3.2,63.23,Clear
中国,09/02/2020,82.4,64.4,72.3,,81.7,0,,13.4,22.4,6.2,4.2,59.2,Clear
中国,09/03/2020,84.2,59,70.3,,82.2,0,,15.7,24.6,6.2,0,56.68,Clear
中国,09/04/2020,86,57.2,71.3,,83.9,0,,11.2,,6.2,0,62.59,Clear
中国,09/05/2020,87.8,60.8,73.5,,87.1,0,,8.9,,6.2,0,66.27,Clear
中国,09/06/2020,86,68,76.3,,88.4,0,,6.7,,5.3,1.1,73.23,Clear
中国,09/07/2020,89.6,66.3,76.4,,89.5,0,,15.7,17.9,6.2,3.4,62.02,Clear
中国,09/08/2020,87.8,64.4,77.3,,85.7,0,,11.2,,6.2,0,52,Clear
中国,09/09/2020,87.8,62.6,73.3,,85.4,0,,8.9,,6.2,0,57.5,Clear
中国,09/10/2020,75.2,62.6,69.9,,,0,,13.4,,6.2,0,64.62,Clear
中国,09/11/2020,77,64.4,71.5,,,0,,13.4,,6.2,0,65.5,Clear
中国,09/12/2020,80.6,64.4,71.1,,81.1,0,,8.9,,6.2,1.1,70.44,Clear
中国,09/13/2020,82.4,62.6,72.1,,82.5,0,,8.9,,6.2,3.7,74.32,Clear
中国,09/14/2020,80.6,68,72.9,,82.3,0,,8.9,,5.6,0,77.13,Clear
中国,09/15/2020,71.6,60.8,67.1,,,0,,11.2,,4.1,14.9,89.87,Clear
中国,09/16/2020,78.8,59,70.2,,,0,,24.6,40.3,6.2,0,39.08,Clear
中国,09/17/2020,82.4,57.2,71.1,,80.2,0,,15.7,29.1,6.2,0,35.17,Clear
中国,09/18/2020,82.4,51.8,66.5,,80.1,0,,17.9,26.8,6.2,0,54.43,Clear
中国,09/19/2020,84.2,50,66.4,,82.5,0,,8.9,,6.2,0,60.38,Clear
中国,09/20/2020,80.6,55.4,69.4,,79.3,0,,8.9,,6.2,0,45.45,Clear
中国,09/21/2020,78.8,57.2,68,,,0,,6.7,,6.2,1.1,69.44,Clear
中国,09/22/2020,80.6,59,69,,79.3,0,,13.4,,6.1,0,61.94,Clear
中国,09/23/2020,66.2,60.8,63.5,,,0,,4.5,,5,25.9,89.12,Partially cloudy
中国,09/24/2020,75.2,60.8,65.6,,,0,,6.7,,5.4,2.1,83.26,Clear
中国,09/25/2020,78.8,57.2,66.3,,,0,,6.7,,5.8,0,77.9,Clear
中国,09/26/2020,78.8,55.4,66,,,0,,6.7,,5,0,78.49,Clear
中国,09/27/2020,80.6,57.2,66.7,,80.5,0,,8.9,,4.1,0,77.07,Clear
中国,09/28/2020,78.8,57.2,67.8,,,0,,8.9,,3.5,1.1,78.84,Clear
中国,09/29/2020,69.8,51.8,61.8,,,0,,11.2,,5.9,4.4,79.14,Clear
中国,09/30/2020,71.6,48.2,60.6,48.5,,0,,13.4,,6.2,0,66.77,Clear
中国,10/01/2020,68,55.4,60.8,,,0,,11.2,,4.7,28.3,82.88,Partially cloudy
中国,10/02/2020,71.6,44.6,62.3,42.3,,0,,17.9,31.3,6.2,0,34.8,Clear
中国,10/03/2020,73.4,42.8,58.5,44.3,,0,,22.4,24.6,6.2,0,56.91,Clear
中国,10/04/2020,68,50,57.8,43.2,,0,,26.8,38,6.2,0,24.7,Clear
中国,10/05/2020,68,44.6,57.4,46.4,,0,,17.9,20.1,6.5,0,34.48,Clear
中国,10/06/2020,69.8,39.2,54.3,36,,0,,8.9,,6.2,0,61.04,Clear
中国,10/07/2020,71.6,46.4,56.5,,,0,,6.7,,5.7,0,73.96,Clear
中国,10/08/2020,68,42.8,55.8,44.3,,0,,6.7,,4.8,0,74.39,Clear
中国,10/09/2020,71.6,51.8,59.6,,,0,,6.7,,3.1,0,76.52,Clear
